	Justice	Term Start/End	Party	State	Pres Appt	Other Offices Held	Relevant Prosecutorial Background
80	Frank Murphy	1940-1949	D	MI	Roosevelt	US AG, gov of MI, amb to Phil, Detroit mayor	lawyer, US attny - 1st to open a civil rights division
81	James F. Byrnes	1941-1942	D	SC	Roosevelt	SC gov, Sec of State, US House, US Sen, director of offices	lawyer
82	Robert H. Jackson	1941-1954	D	NY	Roosevelt	US AG, US Solictor Gen, NY Sen	lawyer
83	Wiley Blount Rutledge	1943-1949	D	IA	Roosevelt	US Distr of COlumbia judge	lawyer
84	Harold Hitz Burton	1945-1958	R	OH	Truman	US Sen, mayor of Columbus, OH House	lawyer
85	Fred M. Vinson	1946-1953	D	KY	Truman	US Sec of Treas, US Court of Appeals for DC	lawyer, city attny
86	Tom C. Clark	1949-1967	D	TX	Truman	US AG	lawyer, civil DA, DOJ for war risk
87	Sherman Minton	1949-1956	D	IN	Truman	US Sen, US Court of Appeals 7th Cir	lawyer, asst to local county pros
88	Earl Warren	1953-1969	R	CA	Eisenhower		Big time Alameda County prosecutor, Cal AG 
89	John Marshall Harlan II	1955-1971			Eisenhower		AUSA for SDNY, Special Assistant Attorney General of New York. Significant prosecutions in NY during Prohibition. 
90	William Brennan				Eisenhower		private practice, labor law, military 
91	Charles Evans Whittaker						Corporate law
92	Potter Stewart						private practice 
93	Byron White						private practice
94	Arthur Goldberg						labor lawyer
95	Abe Fortas						private practice (Arnold & Fortas/Arnold & Porter)
96	Thurgood Marshall						civil rights law
97	Warren Burger						private practice
98	Harry Blackmun						private practice, Mayo Clinic
99	Lewis Powell						private practice, Virginia School Board
100	William Rehnquist						private practice, Asst. AG
101	John Paul Stevens						private practice, Greenberg Commission special prosecutor
102	Sandra Day O'Connor						Asst AG, 1965-69, prosecutorial role, research further
103	Antonin Scalia						private practice, academia
104	Anthony Kennedy						private practice
105	David Souter						Asst AG, significant prosecution
